SDL
	version: 2.0.9
Network
	Initialized.
OpenAL
	vendor: Apple Computer Inc.
	device: Built-in Output
	renderer: Software
	version: 1.1
Render
	ppm: 32.000000
Physics
	bodies: 300
	circle shapes: 100
	segment shapes: 100
	polygon shapes: 200
	pivot joints: 100
	gear joints: 100
	damped springs: 100
OpenGL
	vendor: NVIDIA Corporation
	renderer: NVIDIA GeForce GT 650M OpenGL Engine
	version: 2.1 NVIDIA-12.0.21 355.11.10.50.10.103
	glsl: 1.20
Initializing cpSpace - Chipmunk v7.0.1 (Debug Enabled)
Compile with -DNDEBUG defined to disable debug mode and runtime assertion checks
TextureFactory - Unable to find 'res/sprite_atlas.png' in cache.
TextureFactory - Unable to find 'res/textures/white_box_placeholder.png' in cache.
System - Controller added: 0, 0, PS4 Controller
1 - copy: 571, iterate: 0, total: 571
1 - copy: 129377, iterate: 0, total: 129377
1 - copy: 661, iterate: 0, total: 661
1 - copy: 289250, iterate: 0, total: 289250
1 - copy: 1131, iterate: 0, total: 1131
1 - copy: 388718, iterate: 0, total: 388718
1 - copy: 596, iterate: 0, total: 596
1 - copy: 497, iterate: 0, total: 497
1 - copy: 654, iterate: 0, total: 654
1 - copy: 455390, iterate: 0, total: 455390
1 - copy: 134300, iterate: 0, total: 134300
1 - copy: 1041, iterate: 0, total: 1041
1 - copy: 195564, iterate: 0, total: 195564
1 - copy: 122489, iterate: 0, total: 122489
1 - copy: 110502, iterate: 0, total: 110502
1 - copy: 305491, iterate: 0, total: 305491
1 - copy: 130039, iterate: 0, total: 130039
1 - copy: 876, iterate: 0, total: 876
1 - copy: 130981, iterate: 0, total: 130981
1 - copy: 740, iterate: 0, total: 740
1 - copy: 268588, iterate: 0, total: 268588
1 - copy: 131801, iterate: 0, total: 131801
1 - copy: 1136, iterate: 0, total: 1136
1 - copy: 259851, iterate: 0, total: 259851
1 - copy: 606, iterate: 0, total: 606
1 - copy: 268523, iterate: 0, total: 268523
1 - copy: 1552, iterate: 0, total: 1552
1 - copy: 280310, iterate: 0, total: 280310
1 - copy: 157767, iterate: 0, total: 157767
1 - copy: 1035, iterate: 0, total: 1035
1 - copy: 212607, iterate: 0, total: 212607
1 - copy: 47406, iterate: 0, total: 47406
1 - copy: 271853, iterate: 0, total: 271853
1 - copy: 263297, iterate: 0, total: 263297
1 - copy: 1219, iterate: 0, total: 1219
1 - copy: 426613, iterate: 0, total: 426613
1 - copy: 130779, iterate: 0, total: 130779
1 - copy: 165955, iterate: 0, total: 165955
1 - copy: 57837, iterate: 0, total: 57837
1 - copy: 134291, iterate: 0, total: 134291
1 - copy: 934, iterate: 0, total: 934
1 - copy: 315875, iterate: 0, total: 315875
1 - copy: 579, iterate: 0, total: 579
1 - copy: 223397, iterate: 0, total: 223397
1 - copy: 220920, iterate: 0, total: 220920
1 - copy: 31995, iterate: 0, total: 31995
1 - copy: 240702, iterate: 0, total: 240702
1 - copy: 354495, iterate: 0, total: 354495
1 - copy: 63021, iterate: 0, total: 63021
1 - copy: 132806, iterate: 0, total: 132806
1 - copy: 619, iterate: 0, total: 619
1 - copy: 270494, iterate: 0, total: 270494
1 - copy: 754, iterate: 0, total: 754
1 - copy: 191567, iterate: 0, total: 191567
1 - copy: 252090, iterate: 0, total: 252090
1 - copy: 53769, iterate: 0, total: 53769
1 - copy: 21689, iterate: 0, total: 21689
1 - copy: 386392, iterate: 0, total: 386392
1 - copy: 710, iterate: 0, total: 710
1 - copy: 133893, iterate: 0, total: 133893
1 - copy: 582, iterate: 0, total: 582
1 - copy: 134380, iterate: 0, total: 134380
1 - copy: 618, iterate: 0, total: 618
1 - copy: 309463, iterate: 0, total: 309463
1 - copy: 609, iterate: 0, total: 609
1 - copy: 177814, iterate: 0, total: 177814
1 - copy: 365774, iterate: 0, total: 365774
1 - copy: 624, iterate: 0, total: 624
1 - copy: 134352, iterate: 0, total: 134352
1 - copy: 1057, iterate: 0, total: 1057
1 - copy: 132981, iterate: 0, total: 132981
1 - copy: 57951, iterate: 0, total: 57951
